ECCode      rmrID bondType  weight 
1.1.1.181   27819 C%C*C%C   2      
1.1.1.181   27819 C-O*C=O   1      
1.1.1.181   27820 C%C*C%C   2      
1.1.1.181   27820 C-O*C=O   1      
1.1.1.181   27821 C%C*C%C   2      
1.1.1.181   27821 C-O*C=O   1      
1.1.1.181   27825 C%C*C%C   2      
1.1.1.181   27825 C-O*C=O   1      
1.1.1.183   23088 C-O*C=O   1      
1.1.1.183   27199 C-O*C=O   1      
1.1.1.183   27200 C-O*C=O   1      
1.1.1.183   27201 C-O*C=O   1      
1.1.1.184   22212 C-O*C=O   1      
1.1.1.184   23066 C-O*C=O   1      
1.1.1.184   28470 C-O*C=O   1      
1.1.1.185   23091 C-O*C=O   1      
1.1.1.185   23092 C-O*C=O   1      
1.1.1.186   23308 C-O*C=O   1      
1.1.1.186   26300 C-O*C=O   1      
1.1.1.187   22928 C-O*C=O   1      
1.1.1.187   22930 C-O*C=O   1      
1.1.1.188   22302 C-O*C=O   1      
1.1.1.188   22401 C-O*C=O   1      
1.1.1.189   22212 C-O*C=O   1      
1.1.1.190   22297 C-O*C=O   1      
1.1.1.191   22298 C-O*C=O   1      
1.1.1.192   22108 C-O*C=O   1      
1.1.1.194   22223 C-O*C=O   1      
1.1.1.195   22223 C-O*C=O   1      
1.1.1.195   22628 C-O*C=O   1      
1.1.1.195   23387 C-O*C=O   1      
1.1.1.195   25752 C-O*C=O   1      
1.1.1.195   25753 C-O*C=O   1      
1.1.1.195   26573 C-O*C=O   1      
1.1.1.196   22301 C-O*C=O   1      
1.1.1.196   22402 C-O*C=O   1      
1.1.1.197   23936 C-O*C=O   1      
1.1.1.198   22531 C-O*C=O   1      
1.1.1.2     20534 C-O*C=O   1      
1.1.1.2     20641 C-O*C=O   1      
1.1.1.2     20894 C-O*C=O   1      
1.1.1.2     24483 C-O*C=O   1      
1.1.1.20    22741 C-O*C=O   1      
1.1.1.201   23242 C-O*C=O   1      
1.1.1.202   22034 C-O*C=O   1      
1.1.1.202   22683 C-O*C=O   1      
1.1.1.203   21690 C%O*C=O   1      
1.1.1.205   20968 C%N*C%N   1      
1.1.1.205   27353 C%N*C@N   1      
1.1.1.205   27353 C-S*C=S   1      
1.1.1.206   22432 C-O*C=O   1      
1.1.1.207   21851 C-O*C=O   1      
1.1.1.208   22182 C-O*C=O   1      
1.1.1.209   22121 C-O*C=O   1      
1.1.1.209   22122 C-O*C=O   1      
1.1.1.21    20892 C-O*C=O   1      
1.1.1.21    20894 C-O*C=O   1      
1.1.1.21    22166 C-O*C=O   1      
1.1.1.21    22210 C-O*C=O   1      
1.1.1.21    22419 C-O*C=O   1      
1.1.1.21    22420 C-O*C=O   1      
1.1.1.210   23753 C-O*C=O   1      
1.1.1.211   21522 C-O*C=O   1      
1.1.1.211   24090 C-O*C=O   1      
1.1.1.211   24092 C-O*C=O   1      
1.1.1.211   24094 C-O*C=O   1      
1.1.1.211   24096 C-O*C=O   1      
1.1.1.211   24098 C-O*C=O   1      
1.1.1.211   24101 C-O*C=O   1      
1.1.1.211   27008 C-O*C=O   1      
1.1.1.211   27012 C-O*C=O   1      
1.1.1.211   27016 C-O*C=O   1      
1.1.1.211   27054 C-O*C=O   1      
1.1.1.211   27070 C-O*C=O   1      
1.1.1.212   22377 C-O*C=O   1      
1.1.1.213   22121 C-O*C=O   1      
1.1.1.213   22122 C-O*C=O   1      
1.1.1.213   28041 C-O*C=O   1      
1.1.1.213   28043 C-O*C=O   1      
1.1.1.213   28046 C-O*C=O   1      
1.1.1.214   22717 C-O*C=O   1      
1.1.1.215   21492 C-O*C=O   1      
1.1.1.215   27967 C-O*C=O   1      
1.1.1.215   27968 C-O*C=O   1      
1.1.1.216   22815 C-O*C=O   1      
1.1.1.217   23779 C-O*C=O   1      
1.1.1.218   23098 C-O*C=O   1      
1.1.1.218   23099 C-O*C=O   1      
1.1.1.219   22687 C-O*C=O   1      
1.1.1.219   23140 C-O*C=O   1      
1.1.1.219   24224 C-O*C=O   1      
1.1.1.219   24323 C-O*C=O   1      
1.1.1.219   25788 C-O*C=O   1      
1.1.1.219   27116 C-O*C=O   1      
1.1.1.219   27117 C-O*C=O   1      
1.1.1.22    20239 C-O*C=O   1      
1.1.1.220   23704 C-O*C=O   1      
1.1.1.221   23815 C-O*C=O   1      
1.1.1.222   21184 C-O*C=O   1      
1.1.1.222   21185 C-O*C=O   1      
1.1.1.222   22874 C-O*C=O   1      
1.1.1.222   22875 C-O*C=O   1      
1.1.1.222   22876 C-O*C=O   1      
1.1.1.222   22877 C-O*C=O   1      
1.1.1.223   22812 C-O*C=O   1      
1.1.1.225   23211 C-O*C=O   1      
1.1.1.226   23720 C-O*C=O   1      
1.1.1.227   22532 C-O*C=O   1      
1.1.1.228   23236 C-O*C=O   1      
1.1.1.229   23795 C-O*C=O   1      
1.1.1.23    20993 C-O*C=O   1      
1.1.1.23    22589 C-O*C=O   1      
1.1.1.230   23544 C-O*C=O   1      
1.1.1.231   23030 C-O*C=O   1      
1.1.1.232   23906 C-O*C=O   1      
1.1.1.232   23907 C-O*C=O   1      
1.1.1.233   22272 C-O*C=O   1      
1.1.1.234   23309 C-O*C=O   1      
1.1.1.234   24224 C-O*C=O   1      
1.1.1.234   25788 C-O*C=O   1      
1.1.1.235   23168 C-O*C=O   1      
1.1.1.236   25894 C-O*C=O   1      
1.1.1.237   21184 C-O*C=O   1      
1.1.1.237   21185 C-O*C=O   1      
1.1.1.237   22874 C-O*C=O   1      
1.1.1.237   22876 C-O*C=O   1      
1.1.1.237   22908 C-O*C=O   1      
1.1.1.238   23009 C-O*C=O   1      
1.1.1.239   21570 C-O*C=O   1      
1.1.1.24    21597 C-O*C=O   1      
1.1.1.240   21032 C%O*C=O   1      
1.1.1.241   22576 C-O*C=O   1      
1.1.1.243   22679 C-O*C=O   1      
1.1.1.244   20518 C-O*C=O   1      
1.1.1.245   21900 C-O*C=O   1      
1.1.1.246   22504 C%O*C=O   1      
1.1.1.246   26847 C%O*C=O   1      
1.1.1.246   26867 C%O*C=O   1      
1.1.1.246   26871 C%O*C=O   1      
1.1.1.247   24394 C-O*C=O   1      
1.1.1.248   24053 C-O*C=O   1      
1.1.1.25    22064 C-O*C=O   1      
1.1.1.252   22496 C-O*C=O   1      
1.1.1.252   22863 C%C*C@C   1      
1.1.1.252   22863 C-O*C=O   1      
1.1.1.254   21641 C-O*C=O   1      
1.1.1.256   24593 C-O*C=O   1      
1.1.1.256   24594 C-O*C=O   1      
1.1.1.257   24520 C-O*C=O   1      
1.1.1.258   24532 C-O*C=O   1      
1.1.1.259   24554 C-O*C=O   1      
1.1.1.26    20617 C-O*C=O   1      
1.1.1.26    21199 C-O*C=O   1      
1.1.1.260   24901 C-O*C=O   1      
1.1.1.261   24902 C-O*C=O   1      
1.1.1.261   24903 C-O*C=O   1      
1.1.1.262   24904 C-O*C=O   1      
1.1.1.262   25053 C-O*C=O   2      
1.1.1.263   24905 C-O*C=O   1      
1.1.1.264   24906 C-O*C=O   1      
1.1.1.264   24907 C-O*C=O   1      
1.1.1.265   24908 C-O*C=O   1      
1.1.1.265   24909 C-O*C=O   1      
1.1.1.266   24910 C-O*C=O   1      
1.1.1.267   24911 C-O*C=O   1      
1.1.1.268   24912 C-O*C=O   1      
1.1.1.269   24913 C-O*C=O   1      
1.1.1.27    20604 C-O*C=O   1      
1.1.1.27    20861 C-O*C=O   1      
1.1.1.27    22671 C-O*C=O   1      
1.1.1.270   24914 C-O*C=O   1      
1.1.1.270   26629 C-O*C=O   1      
1.1.1.271   24915 C-O*C=O   1      
1.1.1.271   26212 C-O*C=O   1      
1.1.1.272   24916 C-O*C=O   1      
1.1.1.272   24917 C-O*C=O   1      
1.1.1.272   26286 C-O*C=O   1      
1.1.1.272   26287 C-O*C=O   1      
1.1.1.272   27693 C-O*C=O   1      
1.1.1.273   25043 C-O*C=O   1      
1.1.1.274   25039 C-O*C=O   1      
1.1.1.274   27966 C-O*C=O   1      
1.1.1.275   25322 C-O*C=O   1      
1.1.1.276   25330 C-O*C=O   1      
1.1.1.277   25369 C-O*C=O   1      
1.1.1.278   26288 C-O*C=O   1      
1.1.1.279   23550 C-O*C=O   1      
1.1.1.28    20605 C-O*C=O   1      
1.1.1.280   23551 C-O*C=O   1      
1.1.1.281   22928 C-O*C=O   1      
1.1.1.281   22930 C-O*C=O   1      
1.1.1.282   21597 C-O*C=O   1      
1.1.1.282   22064 C-O*C=O   1      
1.1.1.282   26005 C-O*C=O   1      
1.1.1.282   26006 C-O*C=O   1      
1.1.1.283   26289 C-O*C=O   1      
1.1.1.284   26137 C-O*C=O   1      
1.1.1.284   26290 C-O*C=O   1      
1.1.1.285   26291 C-O*C=O   1      
1.1.1.285   26292 C-O*C=O   1      
1.1.1.286   20610 C-O*C=O   2      
1.1.1.286   21653 C-O*C=O   2      
1.1.1.288   26109 C%C*C%C   1      
1.1.1.288   26109 C-O*C=O   1      
1.1.1.29    20617 C-O*C=O   1      
1.1.1.29    21199 C-O*C=O   1      
1.1.1.290   23643 C-O*C=O   1      
